rank,team,sp_plus,fpi,elo,returning_prod,talent,epa_net,sp_plus_norm,fpi_norm,elo_norm,returning_norm,talent_norm,epa_norm,composite,offense.rating,defense.rating,coaching_flag,sagarin,sagarin_norm
119,Central Michigan,-15.1,-12.806,1312.4,0.54,,,-15.1,-12.806,-6.25333333333333,2.434705882352942,0.0,0.0,-10.781199686774002,15.5,30.4,,53.14,-7.6934923373862825
120,Coastal Carolina,-14.7,-12.093,1264.1,0.154,,,-14.7,-12.093,-7.863333333333336,-5.285294117647059,0.0,0.0,-11.15380660666628,20.6,34.8,New HC: Ryan Beard (experienced_hc) | adj=+0.5pts,51.21,-8.69056924598755
121,Missouri State,-19.1,-10.255,1379.6,0.313,,,-19.1,-10.255,-4.013333333333336,-2.1052941176470585,0.0,0.0,-11.627841555716056,16.4,35.1,,48.11,-10.292091741668344
122,Rice,-15.3,-13.439,1180.8,0.394,,,-15.3,-13.439,-10.640000000000002,-0.4852941176470582,0.0,0.0,-11.843233801106022,16.7,32.5,,50.61,-9.00054134192577
123,Bowling Green,-15.0,-13.682,1332.0,-0.062,,,-15.0,-13.682,-5.6,-9.605294117647059,0.0,0.0,-12.025515572856426,13.9,29.2,,49.48,-9.584322122609414
124,Eastern Michigan,-16.1,-16.316,1317.3,0.721,,,-16.1,-16.316,-6.090000000000002,6.054705882352941,0.0,0.0,-12.328628712220894,17.2,33.4,,51.09,-8.752563665175192
125,San José State,-15.7,-14.286,1252.2,0.038,,,-15.7,-14.286,-8.259999999999998,-7.605294117647059,0.0,0.0,-12.39341594971878,18.3,33.5,,50.82,-8.892051108347392
126,Northern Illinois,-17.2,-14.51,1313.1,0.437,,,-17.2,-14.51,-6.230000000000003,0.37470588235294144,0.0,0.0,-12.635015195994068,15.2,32.1,New HC: Rob Harley (interim) | adj=-1.0pts,48.14,-10.276593136871432
127,UAB,-17.5,-15.451,1278.8,0.796,,,-17.5,-15.451,-7.373333333333335,7.554705882352942,0.0,0.0,-12.777422169605416,20.6,37.6,New HC: Alex Mortensen (interim),48.17,-10.261094532074521
128,Sacramento State,-23.4,-10.422,,,,,-23.4,-10.422,0.0,0.0,0.0,0.0,-12.792427280829568,14.7,38.2,,45.22,-11.78512400377076
129,New Mexico State,-18.5,-15.705,1270.4,0.244,,,-18.5,-15.705,-7.653333333333331,-3.485294117647059,0.0,0.0,-13.695717753866399,15.9,34.4,,48.39,-10.147438096897174
130,Sam Houston,-26.0,-18.422,1145.8,0.577,,,-26.0,-18.422,-11.806666666666668,3.1747058823529404,0.0,0.0,-14.513498039215689,14.2,39.8,,,0.0
131,UTEP,-19.3,-16.605,1244.5,-0.011,,,-19.3,-16.605,-8.516666666666667,-8.58529411764706,0.0,0.0,-14.749727231631008,15.2,34.1,,46.71,-11.015359965524185
132,Akron,-22.9,-16.854,1220.7,0.918,,,-22.9,-16.854,-9.309999999999999,9.994705882352942,0.0,0.0,-14.839546483029537,11.3,33.6,,47.94,-10.37991716885084
133,Charlotte,-24.1,-14.583,1166.1,0.409,,,-24.1,-14.583,-11.130000000000003,-0.18529411764705905,0.0,0.0,-15.611534609378687,14.5,38.1,,42.87,-12.99918137952878
134,Kent State,-22.4,-17.891,1150.7,0.641,,,-22.4,-17.891,-11.643333333333333,4.4547058823529415,0.0,0.0,-15.939872573741745,14.7,36.6,,44.3,-12.260414550876028
135,Middle Tennessee,-26.5,-16.066,1264.8,0.325,,,-26.5,-16.066,-7.840000000000002,-1.8652941176470583,0.0,0.0,-16.25513775940408,13.8,40.5,,46.11,-11.325332061462403
