rank,team,sp_plus,fpi,elo,returning_prod,talent,epa_net,sp_plus_norm,fpi_norm,elo_norm,returning_norm,talent_norm,epa_norm,composite,offense.rating,defense.rating,coaching_flag,sagarin,sagarin_norm
46,Arkansas,5.6,4.396,1549.7,0.145,,,5.6,4.396,1.6566666666666683,-5.465294117647059,0.0,0.0,3.8442088769375786,34.4,29.0,New HC: Ryan Silverfield (experienced_hc) | adj=-0.5pts,75.76,3.992455679484534
47,Mississippi State,4.8,4.082,1477.6,0.339,,,4.8,4.082,-0.7466666666666697,-1.585294117647058,0.0,0.0,3.798456426917824,30.8,26.5,,78.28,5.294338482425047
48,Northwestern,5.1,1.414,1551.8,0.885,,,5.1,1.414,1.7266666666666652,9.334705882352942,0.0,0.0,3.6027345097943857,25.3,20.7,,77.49,4.88620855610639
49,Minnesota,6.2,0.612,1511.2,0.649,,,6.2,0.612,0.37333333333333485,4.614705882352942,0.0,0.0,3.4994419412611326,25.7,19.0,,79.37,5.857454456712811
50,Boise State,5.1,4.045,1565.8,0.663,,,5.1,4.045,2.193333333333332,4.894705882352942,0.0,0.0,3.454670777447963,29.0,23.7,,69.71,0.8669037121074977
51,Duke,5.6,3.547,1585.4,0.171,,,5.6,3.547,2.84666666666667,-4.945294117647058,0.0,0.0,3.277280739927505,32.8,27.6,,72.32,2.2152823294387454
52,UCLA,5.4,0.472,1375.4,0.57,,,5.4,0.472,-4.153333333333331,3.0347058823529407,0.0,0.0,2.7705332713547435,29.1,23.7,New HC: Bob Chesney (experienced_hc),79.24,5.790293835926192
53,Oklahoma State,6.9,3.345,1227.0,0.0,,,6.9,3.345,-9.1,-8.365294117647059,0.0,0.0,2.697301257039655,29.9,23.4,New HC: Eric Morris (experienced_hc) | adj=+1.0pts,74.55,3.3673452860091238
54,North Carolina,3.5,4.91,1374.0,0.278,,,3.5,4.91,-4.2,-2.8052941176470583,0.0,0.0,2.5277471103104174,24.3,21.2,,70.72,1.3886900736035004
55,Wake Forest,3.4,3.379,1521.7,0.142,,,3.4,3.379,0.7233333333333348,-5.525294117647059,0.0,0.0,2.4479400829800033,24.2,20.7,,72.71,2.4167641917985874
56,Maryland,5.2,1.024,1420.9,0.54,,,5.2,1.024,-2.6366666666666636,2.434705882352942,0.0,0.0,2.4194187852836095,26.8,22.0,,74.14,3.155531020451343
57,Kansas,3.3,2.759,1511.2,0.181,,,3.3,2.759,0.37333333333333485,-4.745294117647059,0.0,0.0,2.367376270469422,28.8,26.1,,74.06,3.1142014076595816
58,Cincinnati,3.0,4.406,1479.7,0.083,,,3.0,4.406,-0.6766666666666652,-6.705294117647059,0.0,0.0,2.249341509850826,28.9,26.1,,70.29,1.1665434048477814
59,California,3.0,0.884,1402.0,0.583,,,3.0,0.884,-3.2666666666666666,3.2947058823529405,0.0,0.0,1.7367897061176474,28.8,25.5,New HC: Tosh Lupoi (first_time_hc) | adj=-1.5pts,74.05,3.109035206060609
60,Colorado,0.7,4.546,1390.8,0.137,,,0.7,4.546,-3.6400000000000015,-5.625294117647059,0.0,0.0,1.415583189947258,26.1,25.0,,69.8,0.9133995264982322
61,UCF,1.7,2.116,1463.6,0.248,,,1.7,2.116,-1.2133333333333363,-3.405294117647059,0.0,0.0,1.374119700579964,24.2,22.3,,71.77,1.9311412414953804
62,Rutgers,2.7,-0.153,1478.3,0.444,,,2.7,-0.153,-0.7233333333333348,0.5147058823529416,0.0,0.0,1.2690640464013043,30.8,28.2,,73.3,2.7215700861378367
63,UNLV,3.6,1.791,1585.4,0.154,,,3.6,1.791,2.84666666666667,-5.285294117647059,0.0,0.0,1.1582442288803572,31.4,28.0,,64.16,-2.000338175321016
64,San Diego State,0.7,1.426,1519.6,0.987,,,0.7,1.426,0.6533333333333303,11.374705882352941,0.0,0.0,0.9237632649881756,24.1,24.0,,64.58,-1.7833577081642629
65,Michigan State,2.2,0.281,1436.3,0.209,,,2.2,0.281,-2.123333333333335,-4.185294117647059,0.0,0.0,0.803259145947357,27.7,25.1,New HC: Pat Fitzgerald (experienced_hc) | adj=+2.0pts,72.15,2.127456902256257
66,nationalAverages,-0.5246376811594203,,,,,,-0.5246376811594203,-4.347826086936091e-05,0.0,0.0,0.0,0.0,-0.14691376811594198,25.655797101449277,26.194927536231884,,,0.0
67,West Virginia,-1.3,0.197,1353.7,0.14,,,-1.3,0.197,-4.876666666666665,-5.565294117647058,0.0,0.0,-0.38629734294905776,25.3,26.6,,73.11,2.623412255757402
68,Navy,1.2,-0.712,1552.5,0.138,,,1.2,-0.712,1.75,-5.605294117647058,0.0,0.0,-0.48558315399056134,27.8,26.8,,64.23,-1.9641747641282203
69,Iowa State,-0.4,-0.943,1590.3,0.017,,,-0.4,-0.943,3.0099999999999985,-8.025294117647059,0.0,0.0,-0.523179195692502,22.4,23.2,New HC: Jimmy Rogers (experienced_hc) | adj=-2.0pts,68.73,0.3606159554084138
70,Tulane,-4.3,2.251,1558.1,0.21,,,-4.3,2.251,1.9366666666666636,-4.165294117647059,0.0,0.0,-0.9970712262061997,22.8,27.7,New HC: Will Hall (experienced_hc) | adj=-1.5pts,63.39,-2.398135698441727
71,Purdue,-2.2,-0.929,1308.9,0.475,,,-2.2,-0.929,-6.3699999999999966,1.134705882352941,0.0,0.0,-1.1248729489463327,24.2,27.0,,70.4,1.2233716224364544
72,South Florida,-1.7,-0.949,1691.8,0.126,,,-1.7,-0.949,6.393333333333332,-5.845294117647058,0.0,0.0,-1.1438154373154297,28.1,29.6,New HC: Brian Hartline (first_time_hc) | adj=-2.0pts,63.15,-2.5221245368170155
73,James Madison,-0.9,-2.026,1783.5,0.08,,,-0.9,-2.026,9.45,-6.765294117647058,0.0,0.0,-1.1527871928672222,26.7,27.2,New HC: Billy Napier (experienced_hc) | adj=-2.0pts,62.67,-2.770102213567588
74,Syracuse,-1.9,-0.808,1277.4,0.35,,,-1.9,-0.808,-7.419999999999997,-1.365294117647059,0.0,0.0,-1.3439106711591489,23.3,25.6,,69.2,0.6034274305600172
