team,ext_sp_plus
Carthage,-29.9
Augsburg,-30.0
SUNY-Maritime,-30.0
WV Wesleyan,-30.2
Missouri Baptist,-30.2
Hendrix,-30.2
UW-Stevens Point,-30.4
Amherst,-30.9
St. Vincent,-31.0
Adams State,-31.1
Cal Lutheran,-31.1
Mayville State (N.D.),-31.1
NW Oklahoma State,-31.2
Erskine,-31.2
Kentucky Christian,-31.4
Culver-Stockton (Mo.),-31.6
Olivet,-32.3
Arizona Christian,-32.3
Rocky Mountain (Mont.),-32.4
St. Lawrence,-32.5
Widener,-32.6
Briar Cliff (Iowa),-32.7
Capital,-32.8
Colby,-32.8
Curry,-32.8
North Park,-33.1
Rose-Hulman,-33.2
Carleton,-33.3
Southern Oregon,-33.5
Ave Maria (Fla.),-33.7
Apprentice,-33.7
Peru State (Neb.),-34.0
Bluefield (Va.),-34.1
Franklin,-34.1
Rochester,-34.1
St. Olaf,-34.2
Lakeland,-34.3
Nelson (Texas),-34.5
Simpson,-34.5
N.C. Wesleyan,-34.6
Husson,-34.6
Redlands,-34.7
Schreiner,-35.0
Point (Ga.),-35.0
Macalester,-35.1
Central Methodist (Mo.),-35.2
Southwestern,-35.4
Defiance,-35.6
Kenyon,-35.6
Wooster,-35.7
Gettysburg,-35.8
St. Norbert,-35.9
Allegheny,-36.7
Montana State-Northern,-37.0
Morrisville State,-37.0
La Verne,-37.1
Doane (Neb.),-37.1
Wilmington,-37.2
Northwestern (Minn.),-37.4
Concordia-Chicago,-37.7
Greensboro,-38.1
Muskingum,-38.2
Catholic,-38.8
Lawrence Tech (Mich.),-39.0
Kean,-39.0
Texas Wesleyan,-39.2
Langston (Okla.),-39.5
Castleton,-39.9
William Paterson,-40.1
Hamline,-40.8
Oklahoma Panhandle State,-41.2
WPI,-41.5
Moravian,-41.7
Azusa Pacific,-41.7
McDaniel,-42.2
Keystone,-42.8
Ripon,-42.8
FDU-Florham,-42.9
Sterling (Kan.),-43.1
Hiram,-43.4
Sewanee,-44.2
Bates,-44.3
Bowdoin,-45.0
Union (Ky.),-45.3
Bethel (Kan.),-45.7
Martin Luther,-45.8
Avila (Mo.),-45.9
Worcester State,-46.0
Millikin,-46.1
Arkansas Baptist,-46.6
Kalamazoo,-46.6
Hamilton,-46.7
Crown,-46.8
Fitchburg State,-46.8
Texas College,-47.1
Knox,-47.2
Waynesburg,-47.4
St. Scholastica,-47.4
Pacific,-47.5
Saint Mary-of-the-Woods,-47.7
Buena Vista,-48.2
Nebraska Wesleyan,-48.4
Austin,-48.7
Averett,-49.0
Elmhurst,-49.2
Clarke (Iowa),-49.5
Norwich,-49.7
St. Mary (Kan.),-49.8
St. Francis (Ill.),-50.2
Andrew,-50.2
Warner (Fla.),-50.9
Hartwick,-51.4
Luther,-51.4
Greenville,-51.9
Nichols,-52.0
Southern Virginia,-52.9
Westfield State,-52.9
Alvernia,-53.1
Methodist,-53.1
Bethany,-53.3
Puget Sound,-53.6
Thomas University (Ga.),-53.6
Fort Lauderdale,-53.7
Westminster (Mo.),-54.6
Rockford,-55.1
Virginia-Lynchburg,-55.3
Juniata,-55.5
William Woods (Mo.),-55.6
Minnesota-Morris,-56.1
Bluffton,-56.4
Grinnell,-56.5
Willamette,-56.6
Otterbein,-56.8
Waldorf (Iowa),-57.7
Rhodes,-58.3
Manchester,-59.5
Eureka,-59.6
Guilford,-59.7
Gallaudet,-60.3
Centenary (La.),-60.7
Beloit,-60.9
Rio Grande,-61.3
Whittier,-61.6
Buffalo State,-62.8
Bethany (Kan.),-62.9
New England College,-62.9
Dean,-65.6
Lyon,-66.3
Thiel,-67.1
Westgate Christian,-67.8
Lawrence,-70.1
Oberlin,-70.2
Hilbert,-72.9
Judson (Ill.),-75.6
Maine Maritime,-75.9
