team,elo
Missouri S&T,1489.0
Mount Mercy,1489.0
Delaware Valley,1489.0
Southern Oregon,1488.7
San Diego,1488.7
Georgetown,1488.7
Pace,1488.5
Stony Brook,1488.5
Ouachita Baptist,1488.2
Rowan,1488.2
Eureka,1488.2
Monmouth (IL),1488.2
Rhodes,1488.2
Lincoln (PA),1488.2
Dubuque,1488.2
Southwestern U,1488.2
Puget Sound,1488.2
Averett,1488.2
Whittier,1488.2
Lyon,1488.2
Methodist,1488.2
Nichols,1488.2
Pacific (OR),1488.2
Wayne State (MI),1488.2
Southern Nazarene,1488.2
Arkansas Monticello,1488.2
Ashland,1488.2
Rochester (NY),1488.2
UMass Dartmouth,1488.2
William Paterson,1488.2
The College of New Jersey,1488.2
Kean,1488.2
Moravian,1488.2
Dean,1488.2
Husson,1488.2
Waynesburg,1488.2
Anderson (IN),1488.2
Sewanee,1488.2
St. Scholastica,1488.2
Buena Vista,1488.2
Wisconsin Oshkosh,1488.2
Oberlin,1488.2
Denison,1488.2
Huntingdon,1488.2
Ripon,1488.2
Carnegie Mellon,1488.2
St. Norbert,1488.2
Nebraska Wesleyan,1488.2
Kalamazoo,1488.2
Rose Hulman,1488.2
Norwich,1488.2
Grove City,1488.2
Otterbein,1488.2
Minnesota Morris,1488.2
Montclair State,1488.2
Elmhurst,1488.2
Martin Luther,1488.2
BLUEFIELD,1488.2
Wooster,1488.2
Juniata,1488.2
King's,1488.2
Albion,1488.2
Crown,1488.2
Assumption,1488.2
Southern,1487.9
Alabama A&M,1487.4
Alvernia,1487.3
Kentucky Christian,1487.3
Millersville,1487.1
Eastern Illinois,1486.8
Lamar,1486.8
Northwestern (MN),1485.8
Augsburg,1485.8
Jacksonville State,1485.8
Central Washington,1484.8
Southwest Minnesota State,1484.7
Austin,1484.6
Wittenberg,1484.6
Catholic,1484.6
Southwestern Oklahoma State,1484.6
Missouri Southern State,1484.4
Wingate,1483.8
Stetson,1483.7
Virginia Union,1483.6
Alfred,1483.5
Widener,1483.5
Cal Lutheran,1483.5
Ohio Northern,1483.5
Westminster (MO),1483.5
Michigan State,1483.5
Colorado School of Mines,1483.2
Anderson (SC),1482.7
Frostburg State,1482.6
Alma,1482.6
Valley City State,1482.0
Ithaca,1481.8
Sacramento State,1481.8
Hampden Sydney,1481.8
Lakeland,1481.8
Keiser (Fl),1481.2
Franklin Pierce,1481.1
Eastern,1481.0
Westminster (PA),1481.0
Sacred Heart,1480.9
Dakota State University,1480.7
Shippensburg,1480.3
Florida Memorial University,1479.3
Georgetown College Kentucky,1479.2
Monmouth,1479.1
Randolph Macon,1479.1
Northern Iowa,1479.0
Eastern New Mexico,1478.7
Chicago,1478.6
New England,1478.6
New England College,1478.6
Air Force,1478.6
Western New England,1478.6
Shaw,1478.4
Virginia Tech,1478.1
Washington & Jefferson,1478.1
St. Olaf,1478.1
Belhaven,1477.6
Rhode Island,1477.4
Bowie State,1477.2
Bridgewater,1477.1
Centre,1477.1
Phoenix,1476.9
Southern Arkansas,1476.7
Albany State,1476.6
Willamette,1476.3
Seton Hill,1476.1
Chapman,1475.9
Kentucky Wesleyan,1475.9
Millikin,1475.9
Texas Lutheran,1475.2
Westfield State,1475.2
Bethel (MN),1474.8
Lawrence,1474.8
Point University,1474.5
Lebanon Valley,1474.5
Marshall,1474.3
Maryville (TN),1473.9
Central College,1473.9
Warner,1473.8
Bentley,1473.7
Azusa Pacific,1473.6
Redlands,1473.6
WPI,1473.3
Saint Anselm,1473.3
Simpson (IA),1473.3
Curry,1473.3
Hartwick,1473.3
