week,homeTeam,awayTeam,home_score,away_score,model_spread,vegas_spread,edge_spread,model_total,vegas_total,edge_total,actual_margin,actual_total,confidence,grade,bet_spread,bet_total,won_spread,won_total
2,Texas State,UTSA,26,31,-1.4,-1.8333333333333333,0.4,76.0,65.5,10.5,-5.0,57.0,0.7,A,,Over,,False
1,UConn,Lafayette,56,7,-23.6,-20.833333333333332,-2.8,53.5,51.5,2.0,49.0,63.0,0.8,,,,,
1,UNLV,Memphis,21,27,-2.8,-4.5,1.7,65.2,55.5,9.7,-6.0,48.0,0.8,A,,Over,,False
1,Charlotte,The Citadel,41,43,-19.9,-20.5,0.6,53.5,49.333333333333336,4.2,-2.0,84.0,0.8,C,,Over,,True
1,Memphis,Arkansas State,42,24,-13.0,-10.5,-2.5,62.4,52.333333333333336,10.1,18.0,66.0,0.8,A+,,Over,,True
1,Navy,Towson,42,15,-28.2,-31.166666666666668,3.0,58.7,50.5,8.2,27.0,57.0,0.7,B,,Over,,True
1,Rice,Houston Christian,31,3,-27.6,-22.666666666666668,-4.9,53.5,47.5,6.0,28.0,34.0,0.8,B,Home,Over,True,False
1,Temple,Rhode Island,38,14,-9.5,-14.5,5.0,53.5,51.333333333333336,2.2,24.0,52.0,0.8,C,Away,,False,
1,South Florida,Florida International,19,9,-8.0,-14.5,6.5,57.1,53.333333333333336,3.8,10.0,28.0,0.8,B,Away,Over,True,False
1,UTSA,UT Rio Grande Valley,45,16,-19.7,-28.5,8.8,58.7,59.5,-0.8,29.0,61.0,0.7,A,Away,,False,
1,Army,Bryant,59,3,-34.0,-37.333333333333336,3.3,58.7,51.166666666666664,7.5,56.0,62.0,0.7,B,Away,Over,False,True
2,Army,South Florida,24,28,-3.6,-3.0,-0.6,58.3,45.5,12.8,-4.0,52.0,0.8,A+,,Over,,True
2,Florida Atlantic,Navy,38,30,2.1,4.333333333333333,-2.2,65.2,59.5,5.7,8.0,68.0,0.8,B,,Over,,True
2,North Texas,UNLV,44,6,4.7,2.8333333333333335,1.9,64.0,58.0,6.0,38.0,50.0,0.8,B,,Over,,False
2,Sam Houston,Tulsa,17,23,7.0,12.166666666666666,-5.2,57.4,51.666666666666664,5.7,-6.0,40.0,0.8,B,Home,Over,True,False
2,UAB,UL Monroe,26,20,-8.7,-9.333333333333334,0.6,58.8,53.5,5.3,6.0,46.0,0.8,C,,Over,,False
1,Delaware,Merrimack,42,7,-35.0,-31.5,-3.5,53.5,56.5,-3.0,35.0,49.0,0.8,,Home,,True,
1,Kennesaw State,West Georgia,47,0,-26.6,-22.5,-4.1,53.5,50.5,3.0,47.0,47.0,0.8,C,Home,,True,
1,Nevada,Western Kentucky,49,14,-4.9,0.6666666666666666,-5.6,55.5,51.5,4.0,35.0,63.0,0.8,C,Home,Over,True,True
1,USC,San José State,42,26,-25.5,-37.333333333333336,11.8,55.0,61.166666666666664,-6.2,16.0,68.0,0.8,A+,Away,Under,True,False
1,Eastern Michigan,San José State,21,27,-0.4,-1.5,1.1,50.7,55.0,-4.3,-6.0,48.0,0.8,C,,Under,,True
1,Air Force,Duquesne,34,0,-25.8,-30.5,4.7,58.7,56.166666666666664,2.5,34.0,34.0,0.7,C,Away,,False,
1,Hawai'i,UNLV,6,21,3.9,2.8333333333333335,1.1,60.2,55.5,4.7,-15.0,27.0,0.8,C,,Over,,False
1,New Mexico,Central Michigan,38,7,-14.9,-11.0,-3.9,51.6,47.333333333333336,4.3,31.0,45.0,0.8,C,Home,Over,True,False
1,North Dakota State,Fordham,38,0,-36.9,-41.5,4.6,58.7,54.333333333333336,4.4,38.0,38.0,0.7,C,Away,Over,True,False
2,Nevada,Montana State,7,20,6.3,4.833333333333333,1.5,53.5,51.5,2.0,-13.0,27.0,0.8,,,,,
2,Air Force,North Dakota State,32,38,-0.4,1.6666666666666667,-2.1,51.5,48.166666666666664,3.3,-6.0,70.0,0.8,,,Over,,True
2,Northern Illinois,Illinois State,24,28,7.4,2.5,4.9,53.5,47.666666666666664,5.8,-4.0,52.0,0.8,B,Away,Over,True,True
2,San José State,Cal Poly,30,20,-14.4,-21.5,7.1,53.5,58.5,-5.0,10.0,50.0,0.8,B,Away,Under,True,True
2,UTEP,Texas Southern,51,10,-18.8,-27.333333333333332,8.5,53.5,53.5,0.0,41.0,61.0,0.8,A,Away,,False,
2,Wyoming,Northern Colorado,21,13,-20.6,-23.5,2.9,53.5,44.333333333333336,9.2,8.0,34.0,0.8,A,,Over,,False
1,Florida State,New Mexico State,34,17,-19.2,-31.0,11.8,53.3,53.5,-0.2,17.0,51.0,0.8,A+,Away,,True,
2,East Carolina,App State,24,27,-8.1,-6.5,-1.6,53.7,55.666666666666664,-2.0,-3.0,51.0,0.8,,,,,
2,Tulane,South Alabama,28,24,-8.2,-9.5,1.3,57.0,48.166666666666664,8.8,4.0,52.0,0.8,A,,Over,,True
1,North Dakota State,Jacksonville State,33,7,-8.1,-6.666666666666667,-1.4,53.9,46.5,7.4,26.0,40.0,0.8,B,,Over,,False
2,Hawai'i,New Mexico State,29,19,-11.0,-7.5,-3.5,53.9,50.333333333333336,3.6,10.0,48.0,0.8,,Home,Over,True,False
2,New Mexico,Mercyhurst,70,7,-38.0,-42.333333333333336,4.3,58.7,54.5,4.2,63.0,77.0,0.7,C,Away,Over,False,True
1,Eastern Michigan,Sacramento State,28,17,-4.9,-9.0,4.1,50.9,52.666666666666664,-1.8,11.0,45.0,0.8,C,Away,,False,
